Div;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;B365H;B365D;B365A;BWH;BWD;BWA;GBH;GBD;GBA;IWH;IWD;IWA;LBH;LBD;LBA;SBH;SBD;SBA;WHH;WHD;WHA;GB>2.5;GB<2.5;B365>2.5;B365<2.5;GBAHH;GBAHA;GBAH;LBAHH;LBAHA;LBAH;B365AHH;B365AHA;B365AH
SP1;28.11.2004;Real Madrid;Levante;5;0;H;1;0;H;sty.28;04.maj;08.maj;sty.25;maj.25;9;01.mar;04.cze;11;sty.33;4;07.maj;sty.25;04.maj;10;sty.29;04.cze;10;sty.25;04.maj;10;sty.65;02.maj;01.sie;2;01.cze;02.lut;-1.25;02.cze;sty.78;-1.5;02.sty;01.sie;-1.5
SP1;28.11.2004;Valencia;Mallorca;2;0;H;1;0;H;01.maj;03.maj;6;01.kwi;4;lip.25;sty.57;mar.25;07.maj;sty.45;03.sie;05.kwi;sty.57;mar.25;05.maj;sty.44;03.sie;7;sty.53;03.maj;05.maj;sty.85;sty.85;2;01.sie;sty.95;sty.78;-1;lut.14;01.lip;-1.25;01.sie;02.sty;-1
SP1;04.12.2004;Albacete;Valencia;0;1;A;0;0;D;3;mar.25;02.sty;03.sty;03.lut;lut.15;mar.15;mar.25;02.lut;02.wrz;3;02.lut;3;03.lut;02.sty;03.sty;03.sty;02.lut;3;03.sty;lut.15;02.maj;sty.65;lut.25;sty.61;01.wrz;01.wrz;0.25;sty.88;sty.96;0.25;01.wrz;2;0.25
SP1;04.12.2004;Barcelona;Malaga;4;0;H;2;0;H;sty.22;05.maj;13;sty.25;maj.25;9;sty.25;05.mar;11;01.lut;5;10;sty.17;05.maj;12;01.lut;05.maj;12;sty.22;5;09.maj;sty.71;2;sty.75;02.maj;01.sie;2;-1.5;sty.82;02.lut;-1.5;01.sie;02.sty;-1.5
SP1;04.12.2004;Sociedad;Betis;1;0;H;1;0;H;lut.25;mar.25;lut.75;02.sty;03.lut;03.lut;lut.35;03.sty;3;02.mar;02.sie;02.wrz;lut.25;03.lut;lut.75;lut.38;03.lut;lut.75;02.lut;03.sty;lut.87;sty.95;sty.75;02.sty;01.lip;02.maj;sty.77;-0.25;02.sty;sty.74;-0.25;2.125;1.775;-0.25
SP1;05.12.2004;Ath Madrid;Osasuna;3;2;H;2;1;H;01.sie;mar.25;4;01.sie;03.mar;04.sty;sty.85;03.mar;04.mar;sty.85;03.sty;03.cze;01.sie;03.lut;4;sty.85;mar.25;4;sty.72;03.lut;kwi.33;02.maj;sty.65;02.lut;sty.65;sty.85;sty.87;-0.5;sty.94;01.wrz;-0.5;1.925;1.975;-0.5
SP1;05.12.2004;Levante;Getafe;0;0;D;0;0;D;01.sie;mar.25;4;01.sie;03.mar;04.sty;01.sie;03.mar;04.maj;01.lip;03.lut;04.lut;sty.73;03.lut;kwi.33;01.sie;03.lut;kwi.33;sty.72;03.lut;kwi.33;lut.15;01.cze;02.lut;sty.65;01.sie;01.wrz;-0.5;01.sie;02.kwi;-0.5;1.825;2.075;-0.5
SP1;05.12.2004;Mallorca;Numancia;3;2;H;0;1;A;01.sie;mar.25;4;sty.85;mar.25;mar.95;01.sie;03.mar;04.maj;01.sie;03.sty;03.sie;01.sie;03.lut;4;sty.73;03.kwi;04.maj;01.sie;03.sty;4;2;sty.71;02.lut;sty.65;01.sie;01.wrz;-0.5;sty.76;02.sie;-0.5;sty.75;lut.15;-0.5
SP1;05.12.2004;Santander;La Coruna;2;2;D;1;0;H;02.cze;03.lut;02.kwi;02.sie;03.lut;02.mar;lut.65;mar.25;lut.55;02.sie;02.wrz;02.mar;02.cze;03.lut;lut.38;02.sie;03.sty;02.kwi;02.cze;03.sty;02.kwi;02.maj;sty.65;lut.15;sty.66;02.maj;sty.77;0;02.sie;sty.76;0;2.075;1.825;0
SP1;05.12.2004;Sevilla;Ath Bilbao;2;0;H;0;0;D;01.sie;mar.25;4;01.lip;03.kwi;kwi.55;sty.85;03.mar;04.mar;01.lip;03.sty;04.kwi;sty.73;03.lut;kwi.33;01.sie;03.mar;04.lut;sty.72;03.lut;kwi.33;sty.95;sty.75;02.maj;sty.75;sty.85;sty.87;-0.5;sty.92;sty.92;-0.5;sty.95;sty.95;-0.5
SP1;05.12.2004;Villarreal;Real Madrid;0;0;D;0;0;D;03.maj;mar.25;01.wrz;03.kwi;mar.15;02.maj;03.maj;mar.25;02.maj;03.mar;3;2;03.lut;03.lut;2;03.maj;03.lut;2;3;03.lut;02.sty;sty.85;sty.85;2;01.sie;sty.95;sty.85;0.25;sty.92;sty.92;0.25;01.lip;02.lut;0.5
